margin,evidence,early_stop_failure,agreement,partition
0.01,0.1482460062599081,0.0779947703873181,0.9224015283931548,development policy-tune (frozen source label)
0.02,0.5248160643876265,0.047883414295628,0.9551237754562822,development policy-tune (frozen source label)
0.03,1.0137596032681595,0.0249265449641154,0.9789642697451324,development policy-tune (frozen source label)
0.04,1.507133856347303,0.0142497675181882,0.9894109995528638,development policy-tune (frozen source label)
0.05,2.147676923702289,0.0085762166069726,0.994695337587903,development policy-tune (frozen source label)
0.06,2.860676395268485,0.0062483840386107,0.9970529653266128,development policy-tune (frozen source label)
0.07,3.831246697288728,0.0050328227571115,0.998597617983009,development policy-tune (frozen source label)
0.08,4.2323279541482055,0.0045785395632777,0.9992073492947442,development policy-tune (frozen source label)
0.09,4.390410958904109,0.0021331058020477,0.9996951343441324,development policy-tune (frozen source label)
0.1,4.503312873460429,0.001354784081287,0.9998374049835373,development policy-tune (frozen source label)
0.11,4.6362546237957805,0.000215470803706,0.9999796756229422,development policy-tune (frozen source label)
0.12,4.737917157839112,0.0002790957298353,0.9999796756229422,development policy-tune (frozen source label)
0.13,4.783098248038698,0.0003354579000335,0.9999796756229422,development policy-tune (frozen source label)
0.14,4.869070362993374,0.0,1.0,development policy-tune (frozen source label)
0.15,4.908763871387342,0.0,1.0,development policy-tune (frozen source label)
0.16,4.935083939677249,0.0,1.0,development policy-tune (frozen source label)
0.17,4.957095240030893,0.0,1.0,development policy-tune (frozen source label)
0.18,4.974452258038292,0.0,1.0,development policy-tune (frozen source label)
0.19,4.985386772895411,0.0,1.0,development policy-tune (frozen source label)
0.2,4.990163001504004,0.0,1.0,development policy-tune (frozen source label)
0.21,4.995061176374944,0.0,1.0,development policy-tune (frozen source label)
0.22,4.997276533474249,0.0,1.0,development policy-tune (frozen source label)
0.23,4.998414698589488,0.0,1.0,development policy-tune (frozen source label)
0.24,4.999268322425918,0.0,1.0,development policy-tune (frozen source label)
0.25,4.9995731880817855,0.0,1.0,development policy-tune (frozen source label)
0.26,4.999735783098248,0.0,1.0,development policy-tune (frozen source label)
0.27,4.999878053737653,0.0,1.0,development policy-tune (frozen source label)
0.28,4.999959351245884,0.0,1.0,development policy-tune (frozen source label)
0.29,4.999979675622942,0.0,1.0,development policy-tune (frozen source label)
0.3,5.0,,1.0,development policy-tune (frozen source label)
